file,type,extra,protocol,mode,min,max,delta,dur,bath,da,comment
18613001.abf,ic,1,hunt,continuous,,,,,saline,pre,
18613002.abf,ic,1,steps,episodic,-2,2.5,0.5,,saline,pre,
18613003.abf,ic,1,steps,episodic,-2,2.5,0.5,,saline,pre,
18613004.abf,ic,1,steps,episodic,-2,2.5,0.5,,saline,pre,
18613005.abf,ic,1,step_single,episodic,,2,,50,saline,pre,
18613006.abf,ic,1,step_single,episodic,,2,,10,saline,pre,
18613007.abf,ic,1,step_single,episodic,,2,,,saline,pre,
18613011.abf,ic,1,extra_single,episodic,,1,,,saline,pre,
18613012.abf,ic,1,extra_single,episodic,,3,,,saline,pre,
18613013.abf,ic,1,extra_single,episodic,,5,,,saline,pre,
18613014.abf,ic,1,extra_single,episodic,,6,,,saline,pre,
18613015.abf,ic,1,extra_single,episodic,,6,,,saline,pre,
18613016.abf,ic,1,extra_single,episodic,,6,,,saline,pre,with neg current
18613017.abf,ic,1,extra_single,episodic,,6,,,saline,pre,with neg current
18613018.abf,ic,1,fix,continuous,,,,,saline,pre,
18613019.abf,ic,1,swap,continuous,,,,,hidi,pre,
18613020.abf,ic,1,step_single,episodic,,2,,10,hidi,pre,
18613021.abf,ic,1,step_single,episodic,,2,,10,hidi,pre,
18613022.abf,ic,1,step_single,episodic,,2,,20,hidi,pre,
18613023.abf,ic,1,step_single,episodic,,2.5,,,hidi,pre,
18613024.abf,ic,1,step_single,episodic,,2.5,,,hidi,pre,
18613025.abf,ic,1,collision,episodic,,6,,,hidi,pre,
18613026.abf,ic,1,collision,episodic,,6,,,hidi,pre,
18613027.abf,ic,1,collision,episodic,,6,,,hidi,pre,
18613028.abf,ic,1,collision,episodic,,6,,,hidi,pre,
18613029.abf,ic,1,collision,episodic,,6,,,hidi,pre,
18613030.abf,ic,1,collision,episodic,,6,,,hidi,pre,
18613031.abf,ic,1,collision,episodic,,6,,,hidi,pre,
18613032.abf,ic,1,collision,episodic,,6,,,hidi,pre,
18613033.abf,ic,1,refractory,episodic,,6,,,hidi,pre,
18613034.abf,ic,1,refractory,episodic,,6,,,hidi,pre,
18613035.abf,ic,1,refractory,episodic,,6,,,hidi,pre,
18613036.abf,ic,1,steps,episodic,-2,2.5,0.5,,hidi,pre,
18613037.abf,ic,1,steps,episodic,-2,2.5,0.5,,hidi,pre,
18613038.abf,ic,1,steps,episodic,-2,2.5,0.5,,hidi,pre,
18613039.abf,ic,1,fix,continuous,,,,,hidi,pre,
18613040.abf,vc,1,calibrate,episodic,,,,,hidi,pre,
18613042.abf,vc,1,calibrate,episodic,,,,,hidi,pre,
18613044.abf,vc,1,steps,episodic,-110,-30,10,,hidi,pre,
18613045.abf,vc,1,steps,episodic,-110,-30,10,,hidi,pre,
18613046.abf,vc,1,steps,episodic,-130,-10,10,,hidi,pre,
18613047.abf,vc,1,ramps,episodic,-130,-20,-200,2000,hidi,pre,
18613048.abf,vc,1,ramps,episodic,-130,-20,-200,2000,hidi,pre,
18613049.abf,vc,1,ramps,episodic,-130,-20,-200,2000,hidi,pre,
18613050.abf,vc,1,ramps,episodic,-130,-20,-200,2000,hidi,pre,
18613051.abf,vc,1,ramps,episodic,-130,-20,-200,2000,hidi,pre,
18613052.abf,ic,1,swap,continuous,,,,,hidi,pre,
18613053.abf,ic,1,dose,continuous,,,,,saline,post,
