file,type,extra,protocol,mode,min,max,delta,dur,bath,da,comment
18614043.abf,vc,0,hold,continuous,-27,,,,saline,pre,
18614044.abf,vc,0,steps,episodic,-100,20,10,500,saline,pre,
18614045.abf,vc,0,steps,episodic,-100,20,10,500,saline,pre,
18614046.abf,vc,0,steps,episodic,-100,20,10,500,saline,pre,
18614047.abf,vc,0,ramps,episodic,-115,-5,-200,2000,saline,pre,
18614049.abf,ic,0,hold,continuous,,,,,saline,pre,
18614051.abf,vc,0,ramps,episodic,-117,12,-200,2000,saline,pre,
18614052.abf,vc,0,ramps,episodic,-117,12,-200,2000,saline,pre,
18614053.abf,ic,0,dose,continuous,,,,,saline,post,
18614054.abf,vc,0,hold,continuous,-50,,,,saline,post,
18614055.abf,vc,0,hold,continuous,-80,,,,saline,post,
18614057.abf,vc,0,steps,episodic,-90,30,10,500,saline,post,
18614058.abf,vc,0,steps,episodic,-100,20,10,500,saline,post,
18614059.abf,vc,0,steps,episodic,-100,20,10,500,saline,post,
18614060.abf,vc,0,ramps,episodic,-110,20,-200,2000,saline,post,
18614061.abf,vc,0,ramps,episodic,-110,20,-200,2000,saline,post,
18614062.abf,vc,0,ramps,episodic,-110,20,-200,2000,saline,post,
18614063.abf,vc,0,swap,continuous,-50,,,,hidi,post,
18614070.abf,vc,0,hold,continuous,-50,,,,hidi,post,
18614071.abf,vc,0,steps,epsodic,-120,0,10,500,hidi,post,
18614072.abf,vc,0,steps,epsodic,-120,0,10,500,hidi,post,
18614073.abf,vc,0,steps,epsodic,-120,0,10,500,hidi,post,
18614074.abf,vc,0,ramps,epsodic,-110,20,-200,2000,hidi,post,
18614075.abf,vc,0,ramps,epsodic,-110,20,-200,2000,hidi,post,
18614076.abf,vc,0,ramps,epsodic,-110,20,-200,2000,hidi,post,
18614077.abf,vc,0,ramps,epsodic,-110,20,-200,2000,hidi,post,
18614078.abf,vc,0,swap,continuous,-50,,,,saline,post,
